"Name","LinkedPackageID","BillingPackage","TID","InfoTID","Disabled","OfferedByCalendar","ExistsApple","ExistsAndroid","ExistsKunlun","ExistsBazaar","IconSWF","IconExportName","ShopItemExportName","ShopItemInfoExportName","ShopItemBG","TownhallLimitMin","TownhallLimitMax","Buildings","GemCost","BuildingType","BuildingNumber","BuildingLevel","UnlocksTroop","TroopType","GiftGems","GiftUsers","Resources","ResourceAmounts","ResourceAmountFromThCSV","RED","Priority","FrontPageItem","TreasureItem","ReplacesBillingPackage","ValueTID","ValueForUI","AvailableTimeMinutes","CooldownAfterPurchaseMinutes","TimesCanBePurchased","ShopFrontPageCooldownAfterPurchaseMin","HideTimer"
"String","int","String","String","String","boolean","boolean","boolean","boolean","boolean","boolean","String","String","String","String","String","int","int","String","int","String","int","int","String","String","int","int","String","int","boolean","boolean","int","boolean","boolean","String","String","int","int","int","int","int","boolean"
"Builder3",,"com.supercell.magic.builder1","TID_DIAMOND_BUNDLE_BUILDER","TID_DIAMOND_BUNDLE_BUILDER_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_small","shop_item_builder_pack","shop_item_pack_info","builder_pack",0,99,"Worker Building",500,"building",3,,,,,,,,,,10,,,,"TID_VALUE_STICKER_CONTENT",,,,1,,
"Builder4",,"com.supercell.magic.builder2","TID_DIAMOND_BUNDLE_BUILDER","TID_DIAMOND_BUNDLE_BUILDER_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_normal","shop_item_builder_pack","shop_item_pack_info","builder_pack",0,99,"Worker Building",1000,"building",4,,,,,,,,,,10,,,,"TID_VALUE_STICKER_CONTENT",,,,1,,
"Builder5",,"com.supercell.magic.builder3","TID_DIAMOND_BUNDLE_BUILDER","TID_DIAMOND_BUNDLE_BUILDER_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_medium","shop_item_builder_pack","shop_item_pack_info","builder_pack",0,99,"Worker Building",2000,"building",5,,,,,,,,,,10,,,,"TID_VALUE_STICKER_CONTENT",,,,1,,
"TownHall4",4,"com.supercell.magic.th7","TID_DIAMOND_BUNDLE_TH4","TID_DIAMOND_BUNDLE_TH4_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_large","shop_item_townhall_pack2","shop_item_pack_info","th_pack",3,3,"Air Defense",474,"building",,1,,,,,"Gold",100000,,,80,"TRUE",,,"TID_VALUE_STICKER_CONTENT",8,,,1,60,
"TownHall4_ALT",4,"com.supercell.magic.th7","TID_DIAMOND_BUNDLE_TH4","TID_DIAMOND_BUNDLE_GOLD_ELIXIR_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_large","shop_item_townhall_pack2","shop_item_pack_info","th_pack",3,3,,,,,,,,,,"Gold",200000,,,79,"TRUE",,,"TID_VALUE_STICKER_CONTENT",5,4320,,1,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elixir",200000,,,,,,,,,,,,,
"TownHall5",5,"com.supercell.magic.th1","TID_DIAMOND_BUNDLE_TH5","TID_DIAMOND_BUNDLE_TH5_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_large","shop_item_townhall_pack2","shop_item_pack_info","th_pack",4,4,"Wizard Tower",823,"building",,1,,,,,"Gold",500000,,,70,"TRUE",,,"TID_VALUE_STICKER_CONTENT",3,,,1,60,
"TownHall5_ALT",5,"com.supercell.magic.th1","TID_DIAMOND_BUNDLE_TH5","TID_DIAMOND_BUNDLE_GOLD_ELIXIR_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_large","shop_item_townhall_pack2","shop_item_pack_info","th_pack",4,4,,,,,,,,,,"Gold",1000000,,,69,"TRUE",,,"TID_VALUE_STICKER_CONTENT",3,4320,,1,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elixir",1000000,,,,,,,,,,,,,
"TownHall6",6,"com.supercell.magic.th1","TID_DIAMOND_BUNDLE_TH6","TID_DIAMOND_BUNDLE_TH6_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_large","shop_item_townhall_pack2","shop_item_pack_info","th_pack",5,5,"Air Blaster",1570,"building",,1,,,,,"Gold",1500000,,,60,"TRUE",,,"TID_VALUE_STICKER_CONTENT",5,,,1,60,
"TownHall6_ALT",6,"com.supercell.magic.th1","TID_DIAMOND_BUNDLE_TH6","TID_DIAMOND_BUNDLE_GOLD_ELIXIR_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_large","shop_item_townhall_pack2","shop_item_pack_info","th_pack",5,5,,,,,,,,,,"Gold",2000000,,,59,"TRUE",,,"TID_VALUE_STICKER_CONTENT",4,4320,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elixir",2000000,,,,,,,,,,,,,
"TownHall7",7,"com.supercell.magic.th2","TID_DIAMOND_BUNDLE_TH7","TID_DIAMOND_BUNDLE_TH7_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_large","shop_item_townhall_pack2","shop_item_pack_info","th_pack",6,6,"Hero Altar Barbarian King",600,"building",,,,,,,,,,,50,"TRUE",,,"TID_VALUE_STICKER_CONTENT",4,,,1,60,
,,,,,,,,,,,,,,,,,,"Tesla Tower",3519,"building",,2,,,,,,,,,,,,,,,,,,,
"TownHall7_ALT",7,"com.supercell.magic.th1","TID_DIAMOND_BUNDLE_TH7","TID_DIAMOND_BUNDLE_GOLD_DARK_ELIXIR_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_large","shop_item_townhall_pack2","shop_item_pack_info","th_pack",6,6,,,,,,,,,,"Gold",3000000,,,49,"TRUE",,,"TID_VALUE_STICKER_CONTENT",5,4320,,1,60,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"DarkElixir",30000,,,,,,,,,,,,,
"TownHall8",8,"com.supercell.magic.th2","TID_DIAMOND_BUNDLE_TH8","TID_DIAMOND_BUNDLE_TH8_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_large","shop_item_townhall_pack2","shop_item_pack_info","th_pack",7,7,"Bomb Tower",3640,"building",,1,,,,,"Gold",4000000,,,40,"TRUE",,,"TID_VALUE_STICKER_CONTENT",5,,,1,60,
"TownHall9",9,"com.supercell.magic.th2","TID_DIAMOND_BUNDLE_TH9","TID_DIAMOND_BUNDLE_TH9_INFO",,,"TRUE","TRUE","TRUE","TRUE","sc/shop.sc","icon_gem_large","shop_item_townhall_pack2","shop_item_pack_info","th_pack",8,8,"Hero Altar Archer Queen",1400,"building",,,,,,,,,,,30,"TRUE",,,"TID_VALUE_STICKER_CONTENT",6,,,1,60,
,,,,,,,,,,,,,,,,,,"Bow",4656,"building",,1,,,,,,,,,,,,,,,,,,,
