"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT","FA","ID","MS","TL","VI"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_LANGUAGE_LOCALIZED_NAME","English","Français","Deutsch","Español","Italiano","Nederlands","Norsk","Português","Türkçe","日本語","简体中文","한국어","Русский","العربية","繁體中文","فارسی","Bahasa Indonesia","Bahasa Melayu","Tagalog","Tiếng Việt"
"TID_BUILDING_HOUSE","House","Maison","Haus","Casa","Casa","Huis","Hus","Casa","Ev","住居","房屋","인구","Дом","منزل","房屋","خانه","Rumah","Rumah","House","Nhà"
"TID_BUILDING_HOUSING","Army Camp","Camp militaire","Armeelager","Campamento","Accampamento","Legerkamp","Militærleir","Acampamento","Ordu Kampı","アーミーキャンプ","兵营","집합소","Военный Лагерь","معسكر الجيش","兵營","اردوگاه نظامی","Kamp Tentara","Kem Tentera","Army Camp","Doanh trại Quân đội"
"TID_BUILDING_TOWN_HALL","Town Hall","Hôtel de ville","Rathaus","Ayuntamiento","Municipio","Stadhuis","Rådhus","Centro da Vila","Belediye Binası","タウンホール","大本营","마을 회관","Ратуша","قاعة المدينة","大本營","تالار شهر","Balai Kota","Dewan Bandar","Town Hall","Nhà chính"
"TID_BUILDING_ELIXIR_PUMP","Elixir Collector","Extracteur d'élixir","Elixiersammler","Recolector de elixir","Estrattore di elisir","Elixirpomp","Eliksirpumpe","Coletor de Elixir","İksir Toplayıcı","エリクサーポンプ","圣水收集器","엘릭서 정제소","Сборщик Эликсира","مستخرج الإكسير","聖水收集器","دستگاه تقطیراکسیر","Pengumpul Eliksir","Pengumpul Eliksir","Elixir Collector","Máy hút Tiên dược"
"TID_BUILDING_ELIXIR_STORAGE","Elixir Storage","Réservoir d'élixir","Elixierlager","Almacén de elixir","Deposito di elisir","Elixirtank","Eliksirlager","Depósito de Elixir","İksir Deposu","エリクサータンク","圣水瓶","엘릭서 저장소","Эликсирохранилище","مخزن الإكسير","聖水瓶","مخزن اکسیر","Penyimpanan Eliksir","Penyimpanan Eliksir","Elixir Storage","Kho chứa Tiên dược"
"TID_BUILDING_GOLD_MINE","Gold Mine","Mine d'or","Goldmine","Mina de oro","Miniera d'oro","Goudmijn","Gullgruve","Mina de Ouro","Altın Madeni","金山","金矿","금광","Золотая Шахта","منجم الذهب","金礦","معدن طلا","Tambang Emas","Lombong Emas","Gold Mine","Mỏ Vàng"
"TID_BUILDING_GOLD_STORAGE","Gold Storage","Réserve d'or","Goldlager","Almacén de oro","Deposito d'oro","Goudkluis","Gullager","Depósito de Ouro","Altın Deposu","金庫","储金罐","골드 저장소","Золотохранилище","مخزن الذهب","儲金罐","انبار طلا","Penyimpanan Emas","Penyimpanan Emas","Gold Storage","Kho chứa Vàng"
"TID_BUILDING_BARRACK","Barracks","Caserne","Kaserne","Cuartel","Caserma","Kazerne","Brakker","Quartel","Kışla","兵舎","训练营","훈련소","Казарма","ثكنات","訓練營","پادگان","Barak","Berek","Barracks","Trại lính"
"TID_BUILDING_CANNON","Cannon","Canon","Kanone","Cañón","Cannone","Kanon","Kanon","Canhão","Top","大砲","加农炮","대포","Пушка","مدفع","加農炮","توپ","Meriam","Meriam","Cannon","Đại bác"
"TID_BUILDING_TESLA_TOWER","Hidden Tesla","Tesla camouflée","Verborgener Tesla","Torre Tesla","Tesla occulta","Verborgen Tesla","Skjult tesla","Tesla Oculta","Gizli Tesla","かくしテスラ","特斯拉电磁塔","숨겨진 뇌전탑","Потайная Тесла","تيسلا مخفية","特斯拉電磁塔","تسلای مخفی","Tesla Tersembunyi","Tesla Tersembunyi","Hidden Tesla","Tháp Hồ quang điện Ẩn"
"TID_BUILDING_WALL","Wall","Rempart","Mauer","Muro","Muro","Muur","Mur","Muro","Duvar","壁","城墙","장벽","Стена","جدار","城牆","دیوار","Tembok","Benteng","Wall","Tường thành"
"TID_BUILDING_FENCE","Fence","Barrière","Zaun","Valla","Staccionata","Hek","Gjerde","Cerca","Çit","柵","篱笆","울타리","Забор","سياج","籬笆","حصار","Pagar","Pagar","Fence","Hàng rào"
"TID_BUILDING_WIZARD_TOWER","Wizard Tower","Tour de sorciers","Magierturm","Torre de mago","Torre dello stregone","Tovenaarstoren","Trollmannstårn","Torre do Mago","Büyücü Kulesi","ウィザードの塔","法师塔","마법사 타워","Башня Колдуна","برج الساحر","法師塔","برج جادو","Menara Penyihir","Menara Ahli Sihir","Wizard Tower","Tháp Pháp sư"
"TID_BUILDING_AIR_DEFENSE","Air Defense","Défense anti-aérienne","Luftabwehr","Cohetes de defensa","Difesa aerea","Luchtafweer","Luftforsvar","Defesa Aérea","Hava Savunması","対空砲","防空火箭","대공포","Воздушная Оборона","دفاع جوي","防空火箭","دفاع هوایی","Pertahanan Udara","Pertahanan Udara","Air Defense","Tháp Phòng Không"
"TID_BUILDING_MORTAR","Mortar","Mortier","Minenwerfer","Mortero","Mortaio","Mortier","Morter","Morteiro","Havan","迫撃砲","迫击炮","박격포","Мортира","مدفع هاون","迫擊砲","خمپاره‌انداز","Mortir","Mortar","Mortar","Súng cối"
"TID_WORKER_BUILDING","Builder's Hut","Cabane d'ouvrier","Bauhütte","Choza de constructor","Capanna del costruttore","Bouwkeet","Byggerhytte","Cabana do Construtor","İnşaatçı Kulübesi","大工の小屋","建筑工人小屋","장인의 집","Хижина Строителя","كوخ البنّاء","建築工人小屋：","کارگاه ساختمانی","Pondok Tukang","Pondok Pembina","Builder's Hut","Lều Thợ xây"
